the,ðə
dipped,dɪpt
swayed,sweɪd
stayed,steɪd
aloft,ə lɔft
crowded,kraʊ dɪd
mob,mɒb
arm,ɑrm
shall,ʃæl
shield,ʃild
honor,ɒn ər
blushed,blʌʃt
orchid,ɔr kɪd
beetle,bit l
droned,droʊnd
pedal,pɛd l
trunk,trʌŋk
landing,læn dɪŋ
payment,peɪ mənt
theft,θɛft
pin,pɪn
secret,si krɪt
vast,væst
farm,fɑrm
grin,grɪn
earned,ɜrnd
flax,flæks
hurdle,hɜr dl
pit,pɪt
aid,eɪd
bid,bɪd
scare,skɛər
partner,pɑrt nər
power,paʊ ər
peep,pip
clowns,klaʊnz
leaf,lif
slow,sloʊ
spin,spɪn
cheap,tʃip
flashy,flæʃ i
despair,dɪ spɛər
mails,meɪlz
requests,rɪ kwɛsts
ends,ɛndz
statement,steɪt mənt
boldly,boʊld li
dill,dɪl
pickles,pɪk əlz
sour,saʊ
either,i ðər
method,mɛθ əd
fix,fɪks
clips,klɪps
mumble,mʌm bəl
speech,spitʃ
alarm,ə lɑrm
roused,raʊzd
meter,mi tər
says,sɛz
trinkets,trɪŋ kɪts
neon,ni ɒn
clams,klæmz
fan,fæn
whirled,wɜrld
blades,bleɪdz
softly,sɔft li
breathe,brið
piny,paɪ ni
matters,mæt ərz
reads,ridz
leather,lɛð ər
strap,stræp
toad,toʊd
frog,frɒg
dam,dæm
caused,kɔzd
sockets,sɒk ɪts
bribes,braɪbz
honest,ɒn ɪst
trample,træm pəl
spark,spɑrk
else,ɛls
flames,fleɪmz
spread,sprɛd
hilt,hɪlt
sword,sɔrd
designs,dɪ zaɪnz
drilled,drɪld
footprints,fʊt prɪnts
showed,ʃoʊd
waiting,weɪ tɪŋ
vent,vɛnt
prod,prɒd
band,bænd
length,lɛŋkθ
ditch,dɪtʃ
hidden,hɪd n
sight,saɪt
mass,mæs
shrubs,ʃrʌbz
package,pæk ɪdʒ
scale,skeɪl
outdoors,aʊt dɔrz
flickered,flɪk ərd
circled,sɜr kəld
lobes,loʊbz
ears,ɪərz
hammer,hæm ər
twelfth,twɛlfθ
speaks,spiks
true,tru
cartridge,kɑr trɪdʒ
gun,gʌn
kids,kɪdz
public,pʌb lɪk
constant,kɒn stənt
sever,sɛv ər
twine,twaɪn
snip,snɪp
preserve,prɪ zɜrv
strength,strɛŋkθ
sullen,sʌl ən
whistling,wɪs lɪŋ
boys,bɔɪz
tumbles,tʌm bəlz
stately,steɪt li
maple,meɪ pəl
swell,swɛl
piece,pis
trust,trʌst
choose,tʃuz
plea,pli
lent,lɛnt
gaunt,gɔnt
happen,hæp ən
duke,duk
park,pɑrk
coach,koʊtʃ
greet,grit
guests,gɛsts
frost,frɔst
turkey,tɜr ki
fierce,fɪərs
stripe,straɪp
runs,rʌnz
lush,lʌʃ
ferns,fɜrnz
lofty,lɔf ti
rocks,rɒks
ram,ræm
team,tim
timing,taɪ mɪŋ
looks,lʊks
swapped,swɒpt
ox,ɒks
sit,sɪt
perch,pɜrtʃ
steep,stip
trail,treɪl
painful,peɪn fəl
phase,feɪz
moves,muvz
moss,mɔs
grows,groʊz
northern,nɔr ðərn
pitch,pɪtʃ
stable,steɪ bəl
latch,lætʃ
goose,gus
market,mɑr kɪt
sink,sɪŋk
dishes,dɪʃ ɪz
whiff,wɪf
cure,kyʊər
stubborn,stʌb ərn
facts,fækts
flaps,flæps
cape,keɪp
parades,pə reɪdz
cruiser,kru zər
fleet,flit
loop,lup
braid,breɪd
calves,kævz
thrive,θraɪv
tear,tɪər
pad,pæd
cruise,kruz
warm,wɔrm
waters,wɔ tərz
sleek,slik
streak,strik
color,kʌl ər
crouch,kraʊtʃ
miss,mɪs
kits,kɪts
peg,pɛg
saves,seɪvz
skin,skɪn
poached,poʊtʃt
suffice,sə faɪs
nerves,nɛrvz
jangled,dʒæŋ gəld
slam,slæm
maps,mæps
different,dɪf ər ənt
planes,pleɪnz
dimes,daɪmz
showered,ʃaʊ ərd
sides,saɪdz
sang,sæŋ
tunes,tunz
party,pɑr ti
west,wɛst
tinged,tɪŋd
orange,ɔr ɪndʒ
pods,pɒdz
ferment,fɛr mɪnt
fields,fildz
balked,bɔkt
hitch,hɪtʃ
coal,koʊl
shed,ʃɛd
vase,veɪs
sheath,ʃiθ
rarest,rɛər
spice,spaɪs
east,ist
roof,ruf
tilted,tɪlt ɪd
slant,slænt
smatter,smæt ər
french,frɛntʃ
none,nʌn
trod,trɒd
treadmill,trɛd mɪl
aim,eɪm
contest,kɔn tɛst
amounts,ə maʊnts
tang,tæŋ
salty,sɔl ti
cod,kɒd
business,bɪz nɪs
slab,slæb
hewn,hyun
slate,sleɪt
dunk,dʌŋk
biscuits,bɪs kɪts
hang,hæŋ
tinsel,tɪn səl
branches,bræntʃ ɪz
missed,mɪst
firmly,fɜrm li
pick,pɪk
card,kɑrd
slip,slɪp
changing,tʃeɪndʒ ɪŋ
informs,ɪn fɔrmz
ought,ɔt
know,noʊ
mail,meɪl
batches,bætʃ ɪz
per,pɜr
dots,dɒts
betrayed,bɪ treɪd
mantel,mæn tl
shift,ʃɪft
rate,reɪt
extra,ɛk strə
brightened,braɪt nd
dim,dɪm
stage,steɪdʒ
scoot,skut
job,dʒɒb
admit,æd mɪt
faults,fɔlts
about,ə baʊt
pirate's,paɪ rəts
drenching,drɛntʃ ɪŋ
luggage,lʌg ɪdʒ
frosted,frɔ stɪd
stuffed,stʌft
moving,mu vɪŋ
van,væn
stitch,stɪtʃ
shortened,ʃɔr tnd
pocket,pɒk ɪt
gloss,glɒs
unfit,ʌn fɪt
hail,heɪl
pattered,pæt ərd
burnt,bɜrnt
seals,silz
stamped,stæmpt
sheets,ʃits
troops,trups
jammed,dʒæmd
sale,seɪl
error,ɛr ər
judge,dʒʌdʒ
collapse,kə læps
match,mætʃ
boiled,bɔɪld
jell,dʒɛl
baby,beɪ bi
puts,pʊts
mouth,maʊθ
bombs,bɒmz
stare,stɛər
working,wɜr kɪŋ
streets,strits
narrow,nær oʊ
turns,tɜrnz
jerked,dʒɜrkt
leash,liʃ
feline,fi laɪn
evade,ɪ veɪd
net,nɛt
answer,æn sər
became,bɪ keɪm
heir,ɛər
throne,θroʊn
errand,ɛr ənd
arrive,ə raɪv
robbed,rɒbd
journey,dʒɜr ni
neighbor's,neɪ bərz
shell,ʃɛl
bushes,bʊʃ ɪz
dew,du
blind,blaɪnd
counted,kaʊnt ɪd
severe,sə vɪər
tore,tɔr
called,kɔld
